cod;nome;período;valor
31;MG;2006;138
17;TO;2006;4
32;ES;2006;44
24;RN;2006;10
16;AP;2006;3
41;PR;2006;196
26;PE;2006;37
42;SC;2006;70
11;RO;2006;19
22;PI;2006;4
35;SP;2006;530
21;MA;2006;8
14;RR;2006;10
43;RS;2006;128
13;AM;2006;18
50;MS;2006;29
12;AC;2006;6
51;MT;2006;28
29;BA;2006;21
25;PB;2006;9
21;MA;2007;13
11;RO;2007;8
12;AC;2007;8
13;AM;2007;7
14;RR;2007;8
15;PA;2007;26
16;AP;2007;4
17;TO;2007;2
23;CE;2007;27
27;AL;2007;11
29;BA;2007;27
33;RJ;2007;187
35;SP;2007;396
53;DF;2007;13
22;PI;2007;9
24;RN;2007;11
25;PB;2007;8
26;PE;2007;36
28;SE;2007;9
31;MG;2007;131
32;ES;2007;32
41;PR;2007;193
42;SC;2007;60
43;RS;2007;161
50;MS;2007;39
51;MT;2007;41
52;GO;2007;51
21;MA;2008;12
17;TO;2008;4
29;BA;2008;34
13;AM;2008;7
11;RO;2008;16
25;PB;2008;8
43;RS;2008;184
16;AP;2008;0
28;SE;2008;8
53;DF;2008;7
41;PR;2008;244
22;PI;2008;6
52;GO;2008;49
35;SP;2008;451
15;PA;2008;27
27;AL;2008;3
51;MT;2008;27
31;MG;2008;133
12;AC;2008;5
26;PE;2008;45
23;CE;2008;18
42;SC;2008;74
14;RR;2008;9
32;ES;2008;30
24;RN;2008;7
50;MS;2008;38
33;RJ;2008;133
32;ES;2009;32
53;DF;2009;14
33;RJ;2009;145
29;BA;2009;32
27;AL;2009;2
13;AM;2009;7
42;SC;2009;82
31;MG;2009;132
12;AC;2009;6
17;TO;2009;8
43;RS;2009;186
52;GO;2009;45
21;MA;2009;19
25;PB;2009;10
51;MT;2009;38
16;AP;2009;2
50;MS;2009;40
28;SE;2009;9
15;PA;2009;23
41;PR;2009;274
11;RO;2009;15
23;CE;2009;25
22;PI;2009;7
14;RR;2009;11
24;RN;2009;17
26;PE;2009;42
35;SP;2009;413
27;AL;2010;6
31;MG;2010;141
17;TO;2010;3
52;GO;2010;48
53;DF;2010;15
22;PI;2010;10
35;SP;2010;424
12;AC;2010;3
51;MT;2010;26
13;AM;2010;5
24;RN;2010;13
33;RJ;2010;128
50;MS;2010;33
43;RS;2010;185
25;PB;2010;8
29;BA;2010;42
14;RR;2010;2
42;SC;2010;94
21;MA;2010;18
26;PE;2010;29
15;PA;2010;30
41;PR;2010;283
28;SE;2010;6
11;RO;2010;11
16;AP;2010;2
23;CE;2010;27
32;ES;2010;34
26;PE;2011;21
32;ES;2011;40
41;PR;2011;220
13;AM;2011;15
11;RO;2011;14
16;AP;2011;3
42;SC;2011;68
15;PA;2011;27
28;SE;2011;9
23;CE;2011;24
12;AC;2011;4
51;MT;2011;27
17;TO;2011;11
53;DF;2011;16
25;PB;2011;18
24;RN;2011;11
31;MG;2011;165
14;RR;2011;1
27;AL;2011;7
43;RS;2011;180
33;RJ;2011;127
21;MA;2011;20
50;MS;2011;38
52;GO;2011;67
29;BA;2011;40
35;SP;2011;380
22;PI;2011;4
33;RJ;2012;125
15;PA;2012;27
24;RN;2012;16
53;DF;2012;11
42;SC;2012;85
26;PE;2012;21
13;AM;2012;28
51;MT;2012;35
35;SP;2012;370
32;ES;2012;17
27;AL;2012;12
22;PI;2012;5
23;CE;2012;26
41;PR;2012;248
16;AP;2012;2
21;MA;2012;16
28;SE;2012;9
31;MG;2012;148
12;AC;2012;1
17;TO;2012;9
52;GO;2012;67
25;PB;2012;8
14;RR;2012;10
43;RS;2012;202
50;MS;2012;32
29;BA;2012;42
11;RO;2012;13
32;ES;2013;36
53;DF;2013;12
22;PI;2013;10
35;SP;2013;401
24;RN;2013;20
33;RJ;2013;137
25;PB;2013;12
29;BA;2013;42
26;PE;2013;27
27;AL;2013;18
28;SE;2013;8
23;CE;2013;34
31;MG;2013;145
17;TO;2013;7
41;PR;2013;223
11;RO;2013;20
16;AP;2013;2
42;SC;2013;82
15;PA;2013;35
43;RS;2013;173
14;RR;2013;21
50;MS;2013;34
13;AM;2013;22
51;MT;2013;28
12;AC;2013;3
52;GO;2013;66
21;MA;2013;23
25;PB;2014;13
33;RJ;2014;164
15;PA;2014;21
12;AC;2014;4
29;BA;2014;50
52;GO;2014;77
43;RS;2014;196
53;DF;2014;13
35;SP;2014;371
22;PI;2014;4
41;PR;2014;218
13;AM;2014;13
50;MS;2014;40
23;CE;2014;25
31;MG;2014;141
16;AP;2014;1
32;ES;2014;25
17;TO;2014;6
24;RN;2014;21
27;AL;2014;4
28;SE;2014;9
14;RR;2014;14
21;MA;2014;21
42;SC;2014;88
26;PE;2014;33
51;MT;2014;33
11;RO;2014;15
17;TO;2015;8
12;AC;2015;5
14;RR;2015;17
27;AL;2015;1
15;PA;2015;20
22;PI;2015;8
52;GO;2015;76
21;MA;2015;27
53;DF;2015;13
23;CE;2015;21
29;BA;2015;42
32;ES;2015;24
11;RO;2015;13
13;AM;2015;18
16;AP;2015;3
33;RJ;2015;150
43;RS;2015;223
24;RN;2015;9
28;SE;2015;5
35;SP;2015;349
50;MS;2015;20
