cod;nome;período;valor
24;RN;2007;399
25;PB;2007;704
26;PE;2007;3790
28;SE;2007;350
31;MG;2007;2528
32;ES;2007;1081
41;PR;2007;575
42;SC;2007;88
43;RS;2007;411
50;MS;2007;341
51;MT;2007;561
52;GO;2007;970
21;MA;2008;1030
17;TO;2008;177
29;BA;2008;3876
13;AM;2008;711
11;RO;2008;298
25;PB;2008;852
43;RS;2008;439
16;AP;2008;183
28;SE;2008;383
53;DF;2008;644
41;PR;2008;640
22;PI;2008;268
52;GO;2008;1204
35;SP;2008;2265
15;PA;2008;2445
27;AL;2008;1465
51;MT;2008;630
31;MG;2008;2407
12;AC;2008;69
26;PE;2008;3641
23;CE;2008;1303
42;SC;2008;100
14;RR;2008;69
32;ES;2008;1123
24;RN;2008;510
50;MS;2008;339
33;RJ;2008;3365
32;ES;2009;1215
53;DF;2009;692
33;RJ;2009;3237
29;BA;2009;4455
27;AL;2009;1499
13;AM;2009;786
42;SC;2009;107
31;MG;2009;2261
12;AC;2009;97
17;TO;2009;208
43;RS;2009;409
52;GO;2009;1327
21;MA;2009;1143
25;PB;2009;1069
51;MT;2009;682
16;AP;2009;158
50;MS;2009;374
28;SE;2009;454
15;PA;2009;2558
41;PR;2009;619
11;RO;2009;338
23;CE;2009;1280
22;PI;2009;296
14;RR;2009;66
24;RN;2009;574
26;PE;2009;3208
35;SP;2009;2385
27;AL;2010;1592
31;MG;2010;2256
17;TO;2010;250
52;GO;2010;1403
53;DF;2010;630
22;PI;2010;299
35;SP;2010;2219
12;AC;2010;83
51;MT;2010;667
13;AM;2010;920
24;RN;2010;582
33;RJ;2010;3484
50;MS;2010;336
43;RS;2010;398
25;PB;2010;1227
29;BA;2010;4781
14;RR;2010;93
42;SC;2010;114
21;MA;2010;1242
26;PE;2010;2803
15;PA;2010;2998
41;PR;2010;619
28;SE;2010;533
11;RO;2010;364
16;AP;2010;191
23;CE;2010;1600
32;ES;2010;1171
26;PE;2011;2790
32;ES;2011;1105
41;PR;2011;599
13;AM;2011;1065
11;RO;2011;290
16;AP;2011;163
42;SC;2011;123
15;PA;2011;2629
28;SE;2011;621
23;CE;2011;1541
12;AC;2011;88
51;MT;2011;679
17;TO;2011;252
53;DF;2011;723
25;PB;2011;1324
24;RN;2011;757
31;MG;2011;2622
14;RR;2011;65
27;AL;2011;1899
43;RS;2011;427
33;RJ;2011;2933
21;MA;2011;1255
50;MS;2011;376
52;GO;2011;1537
29;BA;2011;4402
35;SP;2011;2293
22;PI;2011;327
33;RJ;2012;2999
15;PA;2012;2738
24;RN;2012;819
53;DF;2012;785
42;SC;2012;156
26;PE;2012;2805
13;AM;2012;1094
51;MT;2012;732
35;SP;2012;2627
32;ES;2012;1205
27;AL;2012;1789
22;PI;2012;413
23;CE;2012;1811
41;PR;2012;690
16;AP;2012;200
21;MA;2012;1459
28;SE;2012;748
31;MG;2012;2896
12;AC;2012;157
17;TO;2012;266
52;GO;2012;1963
25;PB;2012;1176
14;RR;2012;93
43;RS;2012;475
50;MS;2012;402
29;BA;2012;4989
11;RO;2012;338
32;ES;2013;1182
53;DF;2013;681
22;PI;2013;451
35;SP;2013;2459
24;RN;2013;1064
33;RJ;2013;3247
25;PB;2013;1187
29;BA;2013;4709
26;PE;2013;2572
27;AL;2013;1845
28;SE;2013;829
23;CE;2013;2088
31;MG;2013;3076
17;TO;2013;235
41;PR;2013;540
11;RO;2013;288
16;AP;2013;162
42;SC;2013;101
15;PA;2013;2830
43;RS;2013;454
14;RR;2013;123
50;MS;2013;360
13;AM;2013;955
51;MT;2013;798
12;AC;2013;165
52;GO;2013;2076
21;MA;2013;1788
25;PB;2014;1244
33;RJ;2014;3666
15;PA;2014;2912
12;AC;2014;171
29;BA;2014;5095
52;GO;2014;1986
43;RS;2014;577
53;DF;2014;664
35;SP;2014;2612
22;PI;2014;538
41;PR;2014;541
13;AM;2014;1038
50;MS;2014;388
23;CE;2014;2362
31;MG;2014;3153
16;AP;2014;213
32;ES;2014;1206
17;TO;2014;267
24;RN;2014;1233
27;AL;2014;1829
28;SE;2014;938
14;RR;2014;83
21;MA;2014;2048
42;SC;2014;138
26;PE;2014;2704
51;MT;2014;946
11;RO;2014;386
17;TO;2015;342
12;AC;2015;169
14;RR;2015;138
27;AL;2015;1566
15;PA;2015;3138
22;PI;2015;487
52;GO;2015;2087
21;MA;2015;2003
53;DF;2015;551
23;CE;2015;2118
29;BA;2015;5112
32;ES;2015;1061
11;RO;2015;397
13;AM;2015;1242
16;AP;2015;251
33;RJ;2015;3283
43;RS;2015;601
24;RN;2015;1207
28;SE;2015;1157
35;SP;2015;2336
50;MS;2015;367
25;PB;2015;1222
41;PR;2015;611
51;MT;2015;843
31;MG;2015;3033
42;SC;2015;185
26;PE;2015;3173
32;ES;2016;943
13;AM;2016;1231
53;DF;2016;569
51;MT;2016;845
41;PR;2016;619
35;SP;2016;2017
28;SE;2016;1330
16;AP;2016;347
23;CE;2016;2363
17;TO;2016;426
42;SC;2016;213
26;PE;2016;3618
22;PI;2016;563
21;MA;2016;1963
15;PA;2016;3597
29;BA;2016;6132
43;RS;2016;707
31;MG;2016;3099
25;PB;2016;1099
14;RR;2016;145
27;AL;2016;1665
52;GO;2016;2168
50;MS;2016;369
33;RJ;2016;4076
12;AC;2016;288
11;RO;2016;483
24;RN;2016;1479
42;SC;2017;247
22;PI;2017;509
29;BA;2017;6377
13;AM;2017;1418
14;RR;2017;169
53;DF;2017;452
32;ES;2017;1098
52;GO;2017;2094
33;RJ;2017;4378
12;AC;2017;404
23;CE;2017;4580
50;MS;2017;385
51;MT;2017;780
16;AP;2017;328
28;SE;2017;1168
11;RO;2017;357
24;RN;2017;1798
43;RS;2017;772
31;MG;2017;2885
15;PA;2017;3858
35;SP;2017;2002
17;TO;2017;407
26;PE;2017;4462
41;PR;2017;647
21;MA;2017;1855
25;PB;2017;1151
27;AL;2017;1636
11;RO;2018;323
31;MG;2018;2265
17;TO;2018;430
27;AL;2018;1120
41;PR;2018;607
28;SE;2018;1045
21;MA;2018;1656
16;AP;2018;377
29;BA;2018;5717
42;SC;2018;157
26;PE;2018;3387
15;PA;2018;3827
43;RS;2018;619
33;RJ;2018;4448
25;PB;2018;1085
14;RR;2018;282
50;MS;2018;320
53;DF;2018;372
13;AM;2018;1300
51;MT;2018;695
24;RN;2018;1509
35;SP;2018;1571
12;AC;2018;322
52;GO;2018;1929
22;PI;2018;488
23;CE;2018;4051
32;ES;2018;887
50;MS;2019;280
31;MG;2019;1938
12;AC;2019;252
52;GO;2019;1627
41;PR;2019;542
25;PB;2019;800
14;RR;2019;148
33;RJ;2019;2435
43;RS;2019;463
15;PA;2019;2887
26;PE;2019;2749
42;SC;2019;163
17;TO;2019;337
27;AL;2019;993
23;CE;2019;2036
29;BA;2019;5264
16;AP;2019;330
21;MA;2019;1402
28;SE;2019;884
53;DF;2019;339
22;PI;2019;454
32;ES;2019;802
24;RN;2019;1110
51;MT;2019;639
13;AM;2019;1284
11;RO;2019;295
35;SP;2019;1535
