cod;nome;período;valor
25;PB;1988;38.8
24;RN;1988;26.3
23;CE;1988;28.4
22;PI;1988;15.1
21;MA;1988;20.3
17;TO;1988;0
16;AP;1988;33.4
15;PA;1988;37
52;GO;1989;52.5
12;AC;1989;94.8
11;RO;1989;104.2
53;DF;1989;76.8
13;AM;1989;50.2
14;RR;1989;154.5
15;PA;1989;41.8
16;AP;1989;72.2
17;TO;1989;12.2
21;MA;1989;26.1
22;PI;1989;18.2
23;CE;1989;35
24;RN;1989;33.8
25;PB;1989;41.5
26;PE;1989;131.1
27;AL;1989;93.6
28;SE;1989;29.5
29;BA;1989;33.8
31;MG;1989;22.2
32;ES;1989;89.2
33;RJ;1989;128.5
35;SP;1989;120.6
41;PR;1989;38
42;SC;1989;23.8
43;RS;1989;62.3
50;MS;1989;59.4
51;MT;1989;57.3
52;GO;1990;47.2
11;RO;1990;124
12;AC;1990;51.6
13;AM;1990;66.6
14;RR;1990;142.1
15;PA;1990;49.6
16;AP;1990;46.3
17;TO;1990;15.1
21;MA;1990;29.2
22;PI;1990;14.9
23;CE;1990;27.7
24;RN;1990;26
25;PB;1990;41.4
26;PE;1990;133
27;AL;1990;77.5
28;SE;1990;38.9
29;BA;1990;25.5
31;MG;1990;21
32;ES;1990;94.6
33;RJ;1990;213.7
35;SP;1990;122
41;PR;1990;40.1
42;SC;1990;21.5
43;RS;1990;69
50;MS;1990;54.4
51;MT;1990;46.4
53;DF;1990;99.4
42;SC;1991;19.9
11;RO;1991;106.5
12;AC;1991;91.6
13;AM;1991;77.1
14;RR;1991;71.4
15;PA;1991;49.1
16;AP;1991;69
17;TO;1991;23.2
21;MA;1991;31.5
22;PI;1991;10.8
23;CE;1991;33.2
24;RN;1991;32.8
25;PB;1991;40.1
26;PE;1991;135.5
27;AL;1991;62.8
28;SE;1991;55.7
29;BA;1991;14.5
31;MG;1991;21.8
32;ES;1991;102.2
33;RJ;1991;146.6
35;SP;1991;118.8
41;PR;1991;37.8
43;RS;1991;62.8
50;MS;1991;55.3
51;MT;1991;46.6
52;GO;1991;57.7
53;DF;1991;112.7
53;DF;1992;92.9
41;PR;1992;36.3
35;SP;1992;111.9
33;RJ;1992;125.4
32;ES;1992;86.2
31;MG;1992;18.8
29;BA;1992;22.1
28;SE;1992;92
27;AL;1992;61.9
26;PE;1992;102.2
25;PB;1992;35
24;RN;1992;25.1
23;CE;1992;28.4
22;PI;1992;10.5
21;MA;1992;22.8
17;TO;1992;15.4
16;AP;1992;89.2
15;PA;1992;44.5
14;RR;1992;110.7
13;AM;1992;54.7
12;AC;1992;80.3
11;RO;1992;69.6
42;SC;1992;22.2
43;RS;1992;57
50;MS;1992;59.1
51;MT;1992;40.3
52;GO;1992;47
43;RS;1993;41.9
11;RO;1993;96.6
12;AC;1993;102.2
13;AM;1993;53.4
14;RR;1993;50.6
15;PA;1993;40.3
16;AP;1993;78.5
17;TO;1993;21.9
21;MA;1993;22.9
22;PI;1993;13.3
23;CE;1993;37.8
24;RN;1993;34.2
25;PB;1993;36.2
26;PE;1993;131.6
27;AL;1993;61.7
28;SE;1993;68.5
29;BA;1993;45.8
31;MG;1993;20.9
32;ES;1993;121.7
33;RJ;1993;140.6
35;SP;1993;106.6
41;PR;1993;40.9
42;SC;1993;21.4
50;MS;1993;61.8
51;MT;1993;41.2
52;GO;1993;42.7
53;DF;1993;117.4
52;GO;1994;51.7
11;RO;1994;77.7
12;AC;1994;69.4
13;AM;1994;67.4
14;RR;1994;63.8
15;PA;1994;48.8
