cod;nome;período;valor
28;SE;1997;4.06
29;BA;1997;4.71
31;MG;1997;3.21
32;ES;1997;14.99
33;RJ;1997;14.24
35;SP;1997;10.84
41;PR;1997;5.52
42;SC;1997;2.74
43;RS;1997;6.01
50;MS;1997;8.34
51;MT;1997;10.22
17;TO;1998;6.56
11;RO;1998;15.54
12;AC;1998;7.86
13;AM;1998;11.25
14;RR;1998;15.55
15;PA;1998;5.98
16;AP;1998;7.76
21;MA;1998;1.93
22;PI;1998;2.15
23;CE;1998;2.84
24;RN;1998;2.45
25;PB;1998;5.18
26;PE;1998;11.18
27;AL;1998;6.67
28;SE;1998;1.17
29;BA;1998;2.14
31;MG;1998;3.54
32;ES;1998;16.6
33;RJ;1998;12.66
35;SP;1998;10.66
41;PR;1998;5.48
42;SC;1998;4.21
43;RS;1998;6.16
50;MS;1998;13.67
51;MT;1998;12.26
52;GO;1998;3.51
53;DF;1998;8.02
11;RO;1999;9.553
12;AC;1999;5.836
13;AM;1999;6.614
14;RR;1999;9.864
15;PA;1999;2.289
16;AP;1999;15.621
17;TO;1999;6.841
21;MA;1999;0.932
22;PI;1999;1.01
23;CE;1999;3.388
24;RN;1999;1.565
25;PB;1999;2.72
26;PE;1999;11.489
27;AL;1999;5.175
28;SE;1999;6.851
29;BA;1999;1.738
31;MG;1999;4.103
42;SC;1999;2.73
32;ES;1999;15.076
33;RJ;1999;12.162
35;SP;1999;10.452
41;PR;1999;4.971
43;RS;1999;5.421
50;MS;1999;8.372
51;MT;1999;9.049
52;GO;1999;6.988
53;DF;1999;9.021
14;RR;2000;18.39
11;RO;2000;9.21
12;AC;2000;10.44
13;AM;2000;4.86
35;SP;2000;10.34
15;PA;2000;3.23
16;AP;2000;2.62
17;TO;2000;2.96
21;MA;2000;2.05
22;PI;2000;1.67
23;CE;2000;4.07
24;RN;2000;3.26
25;PB;2000;4.06
26;PE;2000;13.06
27;AL;2000;7.11
28;SE;2000;3.71
29;BA;2000;2.99
31;MG;2000;4.34
33;RJ;2000;11.35
32;ES;2000;11.55
53;DF;2000;5.42
52;GO;2000;8.69
51;MT;2000;7.02
50;MS;2000;11.17
43;RS;2000;4.1
42;SC;2000;2.48
41;PR;2000;4.49
32;ES;2001;13.12
31;MG;2001;4.04
29;BA;2001;1.94
28;SE;2001;2.55
27;AL;2001;5.36
26;PE;2001;10.7
25;PB;2001;4.78
12;AC;2001;9.04
24;RN;2001;3.92
23;CE;2001;4.35
22;PI;2001;4.66
21;MA;2001;2.92
17;TO;2001;5.75
16;AP;2001;8.83
11;RO;2001;15.19
15;PA;2001;4.83
14;RR;2001;5.89
13;AM;2001;6.07
53;DF;2001;7.9
52;GO;2001;7.63
51;MT;2001;11.41
50;MS;2001;10.67
43;RS;2001;5.6
42;SC;2001;3.39
41;PR;2001;7.18
35;SP;2001;10.13
33;RJ;2001;12.13
11;RO;2002;7.92
43;RS;2002;5.79
42;SC;2002;4.28
41;PR;2002;6.46
35;SP;2002;9.96
33;RJ;2002;11.55
32;ES;2002;15.94
31;MG;2002;4.7
29;BA;2002;3.18
28;SE;2002;5.73
27;AL;2002;6.89
26;PE;2002;9.42
25;PB;2002;4.31
24;RN;2002;2.4
23;CE;2002;5.43
22;PI;2002;2.05
21;MA;2002;1.48
17;TO;2002;5.05
16;AP;2002;6.11
15;PA;2002;3.18
14;RR;2002;13.23
13;AM;2002;3.73
12;AC;2002;6.62
53;DF;2002;8.68
52;GO;2002;8.04
51;MT;2002;9.67
50;MS;2002;9.87
52;GO;2003;8.45
53;DF;2003;7.23
32;ES;2003;12.12
15;PA;2003;4.73
33;RJ;2003;11
35;SP;2003;9.7
41;PR;2003;7.61
42;SC;2003;3.95
43;RS;2003;4.61
50;MS;2003;8.45
51;MT;2003;9.79
14;RR;2003;5.48
13;AM;2003;4.08
12;AC;2003;9.72
11;RO;2003;10.98
21;MA;2003;3.32
17;TO;2003;3.83
16;AP;2003;9.5
22;PI;2003;4.25
31;MG;2003;6.95
29;BA;2003;3.29
28;SE;2003;4.23
27;AL;2003;6.57
26;PE;2003;10.9
25;PB;2003;2.7
24;RN;2003;4.01
23;CE;2003;3.9
25;PB;2004;3.24
11;RO;2004;6.75
12;AC;2004;4.23
13;AM;2004;4
14;RR;2004;10.6
15;PA;2004;4.25
16;AP;2004;9.24
17;TO;2004;4.29
21;MA;2004;2.71
22;PI;2004;3.75
23;CE;2004;4.53
24;RN;2004;2.09
26;PE;2004;11.64
27;AL;2004;7.62
28;SE;2004;4.87
29;BA;2004;4.28
31;MG;2004;7.13
32;ES;2004;12.82
33;RJ;2004;10.55
35;SP;2004;7.42
41;PR;2004;8.84
42;SC;2004;2.99
43;RS;2004;6.02
50;MS;2004;7.39
51;MT;2004;12.46
52;GO;2004;7.46
53;DF;2004;7.18
22;PI;2005;3.06
23;CE;2005;5.07
24;RN;2005;4.8
25;PB;2005;4.73
26;PE;2005;10.93
27;AL;2005;8.01
28;SE;2005;3.78
29;BA;2005;4.3
31;MG;2005;6.13
32;ES;2005;13.54
33;RJ;2005;10.36
35;SP;2005;6.28
41;PR;2005;7.39
42;SC;2005;3.46
43;RS;2005;5.77
50;MS;2005;9.53
51;MT;2005;8.54
52;GO;2005;6.76
53;DF;2005;5.21
21;MA;2005;3.2
17;TO;2005;4.21
16;AP;2005;6.75
15;PA;2005;5.54
14;RR;2005;3.42
13;AM;2005;4.75
12;AC;2005;7.26
11;RO;2005;11.51
22;PI;2006;4.14
11;RO;2006;10.03
12;AC;2006;4.07
13;AM;2006;5.26
14;RR;2006;8.29
15;PA;2006;5.26
16;AP;2006;3.29
17;TO;2006;4.15
21;MA;2006;3.16
23;CE;2006;4.32
24;RN;2006;3.39
25;PB;2006;4.51
26;PE;2006;11.14
27;AL;2006;12.16
28;SE;2006;6.12
29;BA;2006;5.86
31;MG;2006;7.1
32;ES;2006;16.13
33;RJ;2006;10.11
35;SP;2006;6.38
41;PR;2006;8.68
42;SC;2006;3.91
43;RS;2006;4.18
50;MS;2006;6.28
51;MT;2006;8.19
52;GO;2006;7.31
53;DF;2006;6.79
16;AP;2007;7.48
14;RR;2007;4.83
13;AM;2007;5.56
12;AC;2007;8
11;RO;2007;4.3
15;PA;2007;6.22
53;DF;2007;5.91
52;GO;2007;7.38
51;MT;2007;8.35
50;MS;2007;8.7
43;RS;2007;6.03
42;SC;2007;4.23
41;PR;2007;8.06
35;SP;2007;4.93
33;RJ;2007;8.63
32;ES;2007;16.25
31;MG;2007;6.71
29;BA;2007;5.91
28;SE;2007;4.04
27;AL;2007;12.33
26;PE;2007;11.28
25;PB;2007;5.44
24;RN;2007;4.48
23;CE;2007;4.19
22;PI;2007;2.62
21;MA;2007;3.23
17;TO;2007;5.63
53;DF;2008;9.3
52;GO;2008;6.96
51;MT;2008;9.25
50;MS;2008;8.31
43;RS;2008;6.18
42;SC;2008;3.93
41;PR;2008;10
35;SP;2008;4.48
33;RJ;2008;8.18
32;ES;2008;18.24
31;MG;2008;7.25
29;BA;2008;7.68
28;SE;2008;5.02
27;AL;2008;9.01
26;PE;2008;10.95
25;PB;2008;5.63
24;RN;2008;6.45
23;CE;2008;3.49
22;PI;2008;3.52
21;MA;2008;3.84
17;TO;2008;5.57
16;AP;2008;4.18
15;PA;2008;7.63
14;RR;2008;4.7
13;AM;2008;5.07
12;AC;2008;4.91
11;RO;2008;6.38
35;SP;2009;4.6
11;RO;2009;9.69
12;AC;2009;5.8
13;AM;2009;4.03
14;RR;2009;13.76
15;PA;2009;7.54
16;AP;2009;4.08
17;TO;2009;7.52
21;MA;2009;3.93
22;PI;2009;2.67
23;CE;2009;5.3
24;RN;2009;4.65
25;PB;2009;9.4
26;PE;2009;11.77
27;AL;2009;12.08
28;SE;2009;4.32
29;BA;2009;7.24
31;MG;2009;6.43
32;ES;2009;21.89
33;RJ;2009;7.11
41;PR;2009;11.51
42;SC;2009;4.61
43;RS;2009;7.53
50;MS;2009;7.94
51;MT;2009;10.63
52;GO;2009;7.52
53;DF;2009;9.43
11;RO;2010;4.18
52;GO;2010;10.26
51;MT;2010;6.72
50;MS;2010;7.58
43;RS;2010;6.88
42;SC;2010;5.04
41;PR;2010;12.01
35;SP;2010;5.24
33;RJ;2010;6.86
32;ES;2010;16.16
31;MG;2010;7.07
29;BA;2010;10.35
28;SE;2010;6.29
27;AL;2010;14.07
26;PE;2010;9.69
25;PB;2010;9.83
24;RN;2010;6.85
23;CE;2010;5.12
22;PI;2010;2.48
21;MA;2010;5.38
17;TO;2010;8.96
16;AP;2010;4
15;PA;2010;10.47
14;RR;2010;10.47
53;DF;2010;8.26
13;AM;2010;6.04
12;AC;2010;6.66
11;RO;2011;7.91
53;DF;2011;9.65
52;GO;2011;12.38
51;MT;2011;8.36
50;MS;2011;9.97
43;RS;2011;6.93
42;SC;2011;4.05
41;PR;2011;8.59
