cod;nome;período;valor
33;RJ;2006;2217
53;DF;2006;70
23;CE;2006;148
31;MG;2006;1103
17;TO;2006;34
32;ES;2006;211
24;RN;2006;71
16;AP;2006;11
41;PR;2006;2326
26;PE;2006;351
42;SC;2006;439
11;RO;2006;125
22;PI;2006;47
35;SP;2006;4315
21;MA;2006;135
14;RR;2006;31
43;RS;2006;1457
13;AM;2006;77
50;MS;2006;265
12;AC;2006;36
51;MT;2006;212
29;BA;2006;183
25;PB;2006;38
21;MA;2007;144
11;RO;2007;94
12;AC;2007;26
13;AM;2007;38
14;RR;2007;20
15;PA;2007;164
16;AP;2007;17
17;TO;2007;29
23;CE;2007;185
27;AL;2007;65
29;BA;2007;233
33;RJ;2007;1883
35;SP;2007;3315
53;DF;2007;94
22;PI;2007;50
24;RN;2007;84
25;PB;2007;32
26;PE;2007;246
28;SE;2007;66
31;MG;2007;1030
32;ES;2007;245
41;PR;2007;2220
42;SC;2007;450
43;RS;2007;1574
50;MS;2007;274
51;MT;2007;230
52;GO;2007;341
21;MA;2008;144
17;TO;2008;37
29;BA;2008;311
13;AM;2008;40
11;RO;2008;120
25;PB;2008;42
43;RS;2008;1685
16;AP;2008;6
28;SE;2008;65
53;DF;2008;98
41;PR;2008;2413
22;PI;2008;46
52;GO;2008;364
35;SP;2008;3263
15;PA;2008;186
27;AL;2008;55
51;MT;2008;211
31;MG;2008;938
12;AC;2008;18
26;PE;2008;387
23;CE;2008;176
42;SC;2008;600
14;RR;2008;19
32;ES;2008;234
24;RN;2008;93
50;MS;2008;274
33;RJ;2008;1644
32;ES;2009;219
53;DF;2009;105
33;RJ;2009;1538
29;BA;2009;301
27;AL;2009;46
13;AM;2009;37
42;SC;2009;605
31;MG;2009;923
12;AC;2009;10
17;TO;2009;47
43;RS;2009;1589
52;GO;2009;365
21;MA;2009;142
25;PB;2009;41
51;MT;2009;209
16;AP;2009;9
50;MS;2009;276
28;SE;2009;65
15;PA;2009;189
41;PR;2009;2698
11;RO;2009;127
23;CE;2009;166
22;PI;2009;49
14;RR;2009;26
24;RN;2009;115
26;PE;2009;328
35;SP;2009;3382
